,nombre,tipo,direccion,type2,schuko,ccs2,chademo
0,Parking TEKNON - SELBA EdRSR 1,Superficie,10 Carrer de la Marquesa de Vilallonga 08017,24,0,0,0
1,Interparking Hispania/7169,Superficie,38 Carrer d'Esteve Terradas 08023,18,0,0,0
2,Interparking Hispania/7169,Superficie,38 Carrer d'Esteve Terradas 08023,18,0,0,0
3,"Av. Diagonal, 447 (lateral Mar)",Superficie,449 Avinguda Diagonal 08036,10,4,2,2
4,2672-Telpark - Barceloneta Port Vell,Superficie,4402 Plaça de Pau Vila 08039,13,0,0,0
5,Interparking Hispania/6278,Superficie,9 Carrer de Casp 08010,12,0,0,0
6,Interparking Hispania/6278,Superficie,9 Carrer de Casp 08010,12,0,0,0
7,"Av. Diagonal, 598",Superficie,598 Avinguda Diagonal 08021,8,4,0,0
8,undefined,Superficie,43 Carrer d'Arquímedes 08030,12,0,0,0
9,Interparking Hispania/6280,Superficie,169 Carrer de Provença 08036,10,0,0,0
10,Interparking Hispania/6280,Superficie,169 Carrer de Provença 08036,10,0,0,0
11,"Av. Diagonal, 508 (lateral Muntanya)",Superficie,508 Avinguda Diagonal 08006,4,6,0,0
12,Fluvià 102-118,Superficie,368 Carrer de Fluvià 08019,4,2,2,2
13,Arquímedes 45 TECNIGRADO S.L.,Superficie,43 Carrer d'Arquímedes 08030,10,0,0,0
14,"Av. Diagonal, 447 (lateral Mar)",Superficie,445 Avinguda Diagonal 08036,2,4,2,2
15,Fluvià 102-118,Superficie,368 Carrer de Fluvià 08019,2,4,2,2
16,Puerto Transmediterranea,Superficie,1 Moll de Sant Bertran 08039,10,0,0,0
17,"Mas Casanovas, 69",Superficie,65 Carrer del Mas Casanovas 08041,3,0,3,3
18,"Aparcament Viriat, 5-23",Superficie,23 Carrer de Viriat 08014,3,0,3,3
19,"Pl. Alfonso Comín, 12",Superficie,13 Carrer de Collserola 08022,3,0,3,3
20,Interparking Hispania/7061,Superficie,Via sense nom 08034,6,0,0,0
21,Interparking Hispania/7061,Superficie,Via sense nom 08034,6,0,0,0
22,Parking Rambla Brasil 29,Superficie,102 Carrer de Miquel Àngel 08028,6,0,0,0
23,Parking Rambla Brasil 29,Superficie,102 Carrer de Miquel Àngel 08028,6,0,0,0
24,2078-Telpark - Sancho de Ávila,Superficie,31X Carrer de Sancho de Ávila 08018,6,0,0,0
25,2030-Telpark - Hospital Clínic-CEK,Superficie,149 Carrer del Rosselló 08036,6,0,0,0
26,TheF Charging Espana - Parking Rambla Brasil 29,Superficie,102 Carrer de Miquel Àngel 08028,6,0,0,0
27,"Hort de la Vila, 46",Superficie,50 Carrer de l'Hort de la Vila 08017,2,0,2,2
28,Novotel - Barcelona Cornellà,Superficie,82I Via de Bàrcino 08033,0,0,5,1
29,Foneria 29,Superficie,26 Carrer de la Foneria 08038,2,0,2,2
30,"Av. Diagonal, 387 (lateral mar)",Superficie,310 Carrer de Còrsega 08008,2,4,0,0
31,"Av. Diagonal, 429 (lateral Mar)",Superficie,431 Avinguda Diagonal 08006,2,4,0,0
32,"Pl. Alfonso Comín, 12",Superficie,13 Carrer de Collserola 08022,2,0,2,2
33,"Club Arsenal Amigó - Carrer d'Amigó, 72, Barcelona",Superficie,52 Carrer del Rector Ubach 08021,6,0,0,0
34,TheF Charging Espana - Club Arsenal Amigó - Carrer,Superficie,52 Carrer del Rector Ubach 08021,6,0,0,0
35,"Club Arsenal Masculino - Carrer de Pomaret, 49, Barcelona",Superficie,2B Carrer de Terré 08017,6,0,0,0
36,TheF Charging Espana - Club Arsenal Masculino - Ca,Superficie,2B Carrer de Terré 08017,6,0,0,0
37,Europa 12,Superficie,14 Carrer d'Europa 08028,2,0,2,2
38,"Mas Casanovas, 69",Superficie,65 Carrer del Mas Casanovas 08041,2,0,2,2
39,"Av. Diagonal, 429 (lateral Mar)",Superficie,431 Carrer de Londres 08036,0,6,0,0
40,"Av. Diagonal, 508 (lateral Muntanya)",Superficie,508 Avinguda Diagonal 08006,0,6,0,0
41,"Carrer Fra Juníper Serra, 57",Superficie,61 Carrer de Fra Juníper Serra 08030,2,0,2,2
42,"Via Augusta, 352",Superficie,352 Via Augusta 08017,2,0,2,2
43,SABA/autopistas,Superficie,22 Avinguda Parc Logístic 08040,6,0,0,0
44,2681-Telpark - Ninot,Superficie,190 Carrer de Provença 08036,5,0,0,0
45,2681-Telpark - Ninot,Superficie,190 Carrer de Provença 08036,5,0,0,0
46,Telpark - Ninot,Parking,190 Carrer de Provença 08036,5,0,0,0
47,BCSABAAPARCAMIENTOPLAZACATALUNA01,Superficie,21 Carrer de Rivadeneyra 08002,5,0,0,0
48,BCSABAAPARCAMIENTOPLAZACATALUNA01,Superficie,21 Carrer de Rivadeneyra 08002,5,0,0,0
49,Parking Carlos III (PowerGo),Parking,9 Gran Via de Carles III 08028,5,0,0,0
50,Parking Carlos III (PowerGo),Superficie,5860 Gran Via de Carles III 08028,5,0,0,0
51,"Rosselló i Porcel, 9",Superficie,10 Carrer de Rosselló i Pòrcel 08016,1,2,1,1
52,Ausiàs March 151,Superficie,139 Carrer de la Marina 08013,1,2,1,1
53,c/ Torrent de l'Olla 203,Superficie,38 Carrer de Nil Fabra 08012,1,2,1,1
54,"Rosselló i Porcel, 9",Superficie,78 Avinguda de Rio de Janeiro 08016,1,2,1,1
55,"Josep Pla, 2",Superficie,14 Carrer de Josep Pla 08019,1,2,1,1
56,"Avinguda del Paral·lel, 55",Superficie,54 Avinguda del Paral·lel 08004,1,2,1,1
57,c/ Torrent de l'Olla 203,Superficie,23 Carrer de Nil Fabra 08012,1,2,1,1
58,BCNJARDINETSDEGRACIA02,Superficie,9999 Passeig de Gràcia 08008,4,0,0,0
59,BCNJARDINETSDEGRACIA02,Superficie,9999 Passeig de Gràcia 08008,4,0,0,0
60,1591000418,Superficie,38 Passeig de Gràcia 08007,4,0,0,0
61,1591000418,Superficie,38 Passeig de Gràcia 08007,4,0,0,0
62,BCSABADIPUTACIO02,Superficie,286 Carrer de la Diputació 08009,4,0,0,0
63,BCSABADIPUTACIO02,Superficie,286 Carrer de la Diputació 08009,4,0,0,0
64,1590000718,Superficie,116B Passeig de Gràcia 08008,4,0,0,0
65,1590000718,Superficie,116B Passeig de Gràcia 08008,4,0,0,0
66,Parking Viladomat,Parking,314 Carrer de Viladomat 08029,4,0,0,0
67,Abba Garden - Barcelona,Superficie,33 Calle de Santa Rosa 08950,4,0,0,0
68,TheF Charging Espana - Abba Garden - Barcelona,Superficie,33 Calle de Santa Rosa 08950,4,0,0,0
69,"Lope de Vega, 158-160",Superficie,492 Carrer de Lope de Vega 08018,2,2,0,0
70,EUROSTARS ANGLÍ,Superficie,52 Carrer de Margenat 08017,4,0,0,0
71,cementiri Montjuïc,Superficie,40 Carrer de la Mare de Déu de Port 08038,0,4,0,0
72,Jerez 14,Superficie,16 Carrer de Jerez 08032,1,1,1,1
73,Pintor Tapiró 2-6,Superficie,5 Carrer del Pintor Tapiró 08028,2,2,0,0
74,"Av. Josep Vicenç Foix, 86 Bis",Superficie,86 Avinguda de Josep Vicenç Foix 08034,2,2,0,0
75,"Rbla. Guipúscoa, 103",Superficie,103 Carrer de Guipúscoa 08020,2,2,0,0
76,"Av. Esplugues, 52",Superficie,10 Carrer d'Eduard Toldrà 08034,2,2,0,0
77,c/ Europa 38,Superficie,38 Carrer d'Europa 08014,2,2,0,0
78,"Pl. Maragall, 21",Superficie,21 Plaça de Maragall 08027,2,2,0,0
79,"Torras i Bages, 11",Superficie,11 Passeig de Torras i Bages 08030,2,2,0,0
80,Jerez 14,Superficie,16 Carrer de Jerez 08032,1,1,1,1
81,"Av. Diagonal, 598",Superficie,598 Avinguda Diagonal 08021,0,4,0,0
82,"Av. Diagonal, 387 (lateral mar)",Superficie,310 Carrer de Còrsega 08008,0,4,0,0
83,"Pascual i Vila, 23",Superficie,23-24 Carrer de Pascual i Vila 08028,0,4,0,0
84,"Joan de Borbó, 12",Superficie,14 Passeig de Joan de Borbó 08003,0,4,0,0
85,Parking Norte Nissan Fábrica,Superficie,107 Travessia es 08040,0,3,0,1
86,Endesa CPO - Ml Inflamables,Superficie,9 Ml Inflamables 08040,1,0,1,1
87,Endesa CPO - Ml Inflamables,Superficie,9 Ml Inflamables 08040,1,0,1,1
88,Endesa CPO - JOSEL - Passeig de Sant Gervasi,Superficie,51 Passeig de Sant Gervasi 08022,3,0,0,0
89,Endesa CPO - JOSEL - Passeig de Sant Gervasi,Superficie,51 Passeig de Sant Gervasi 08022,3,0,0,0
90,BCMIRAMAR01,Superficie,44 N-2 08304,1,0,1,1
91,BCMIRAMAR01,Superficie,44 N-2 08304,1,0,1,1
92,"Endesa CPO SABA APARCAMIENTOS - Av. de Pau Casals, Sarrià-Sant Gervasi, 08021 Barcelona, Spain",Superficie,5 Avinguda de Pau Casals 08021,3,0,0,0
93,"Endesa CPO SABA APARCAMIENTOS - Av. de Pau Casals, Sarrià-Sant Gervasi, 08021 Barcelona, Spain",Superficie,5 Avinguda de Pau Casals 08021,3,0,0,0
94,BCSABAELECTROLINERACARLESIII01,Superficie,81 Gran Via de Carles III 08028,1,0,1,1
95,BCSABAELECTROLINERACARLESIII01,Superficie,81 Gran Via de Carles III 08028,1,0,1,1
96,"Endesa CPO SABA - Pl. d'Urquinaona, 08010 Barcelona, Spain",Superficie,3 Plaça d'Urquinaona 08010,1,0,1,1
97,"Endesa CPO SABA - Pl. d'Urquinaona, 08010 Barcelona, Spain",Superficie,3 Plaça d'Urquinaona 08010,1,0,1,1
98,BCSABAELECTROLINERACARLESIII02,Superficie,81 Gran Via de Carles III 08028,1,0,1,1
99,BCSABAELECTROLINERACARLESIII02,Superficie,81 Gran Via de Carles III 08028,1,0,1,1
100,62126022680008,Superficie,10 Avinguda de la Catedral,1,0,1,1
101,62126022680008,Superficie,10 Avinguda de la Catedral,1,0,1,1
102,"Endesa CPO SABA - Jardines Ps. Gràcia, Barcelona, Spain",Superficie,116B Passeig de Gràcia 08008,1,0,1,1
103,"Endesa CPO SABA - Jardines Ps. Gràcia, Barcelona, Spain",Superficie,116B Passeig de Gràcia 08008,1,0,1,1
104,BCSABATRAVESSERADEGRACIA17-2101,Superficie,23 Travessera de Gràcia 08021,3,0,0,0
105,BCSABATRAVESSERADEGRACIA17-2101,Superficie,23 Travessera de Gràcia 08021,3,0,0,0
106,BCSABACATEDRAL,Superficie,9 Avinguda de la Catedral,3,0,0,0
107,BCSABACATEDRAL,Superficie,9 Avinguda de la Catedral,3,0,0,0
108,Eranovum e-mobility/6694fb0cbc4bc2d82f94826b,Superficie,166 Avinguda de Madrid 08028,3,0,0,0
109,Eranovum e-mobility/66542f0781c2c43a755eb398,Superficie,236B Carrer de Sicília 08013,2,0,1,0
110,Parking Riubar - 01,Superficie,63 Carrer de Mallorca 08029,3,0,0,0
111,BMW Charging @ Destination,Superficie,3 Moll d'Espanya 08039,3,0,0,0
112,Náutico BCN 1,Superficie,3 Moll d'Espanya 08039,3,0,0,0
113,Puiggarí 37,Superficie,23 Carrer de Viriat 08014,1,0,1,1
114,Cisell 8,Superficie,8 Carrer del Cisell 08038,1,0,1,1
115,Ronda Sant Pau 60,Superficie,62 Ronda de Sant Pau 08001,1,0,1,1
116,Moragas 17,Superficie,17 Carrer de Moragas 08022,1,0,1,1
117,Nena Cases 24,Superficie,24 Carrer de la Nena Casas 08017,1,0,1,1
118,Can Marcet 18,Superficie,18 Avinguda de Can Marcet 08035,1,0,1,1
119,Legalitat 53,Superficie,55 Carrer de la Legalitat 08024,1,0,1,1
120,"Llobregós, 215",Superficie,213 Carrer del Llobregós 08032,1,0,1,1
121,Diputació 344,Superficie,371 Carrer de la Diputació 08013,1,0,1,1
122,"Reina Victoria, 9",Superficie,10 Carrer de la Reina Victòria 08021,1,0,1,1
123,Virgili 10,Superficie,4 Carrer de Virgili 08030,1,0,1,1
124,Can Bruixa 23,Superficie,33 Carrer de Can Bruixa 08014,1,0,1,1
125,Roger de Llúria 124,Superficie,124 Carrer de Roger de Llúria 08037,1,0,1,1
126,Cantàbria 28,Superficie,29 Carrer de Cantàbria 08020,1,0,1,1
127,Carrer 60,Superficie,21 Carrer 60 08040,1,0,1,1
128,Concepció Arenal 26,Superficie,26B Carrer de Concepción Arenal 08027,1,0,1,1
129,Salvador Espriu 97,Superficie,Carrer de Salvador Espriu 08005,1,0,1,1
130,Torras i Bages 124,Superficie,124 Plaça de Josep Andreu i Abelló 08030,1,0,1,1
131,Poesia 2,Superficie,7B Carrer de la Poesia 08035,1,0,1,1
132,Pare Mariana 21,Superficie,135 Carrer del Pare Mariana 08035,1,0,1,1
133,Química 2,Superficie,2 Carrer de la Química 08038,1,0,1,1
134,Mallorca 100,Superficie,100 Carrer de Mallorca 08029,1,0,1,1
135,John M. Keynes,Superficie,37 Carrer de John Maynard Keynes 08034,1,0,1,1
136,Pg. Picasso 8,Superficie,8 Passeig de Picasso 08003,1,0,1,1
137,Europa 12,Superficie,14 Carrer d'Europa 08028,1,0,1,1
138,Entença 335,Superficie,115 Carrer de Déu i Mata 08029,1,0,1,1
139,Mercabarna,Superficie,25 Carrer Major 08040,1,0,1,1
140,"Via Favència, 21",Superficie,21X Via Favència 08042,1,0,1,1
141,"Carrer Roc Boronat, 122",Superficie,125 Carrer de Roc Boronat 08018,1,0,1,1
142,"Carrer Fra Juníper Serra, 57",Superficie,61 Carrer de Fra Juníper Serra 08030,1,0,1,1
143,"Pla de Palau, 21",Superficie,1366 Pla de Palau 08003,1,0,1,1
144,"Provença, 447",Superficie,447 Carrer de Provença 08025,1,0,1,1
145,"Av. Meridiana, 400 E",Superficie,396 Avinguda Meridiana 08030,1,0,1,1
146,"MOTOR LLANSÀ, S.L. (Zona Franca)",Superficie,65 Passeig de la Zona Franca 08038,0,0,2,1
147,ROMAUTO GRUP CONCESSIONARIS S.L.,Superficie,51 Carrer de la Ciutat d'Asuncion 08030,0,0,2,1
148,Cisell 8,Superficie,45 Passeig de la Zona Franca 08038,1,0,1,1
149,Moragas 17,Superficie,17 Carrer de Moragas 08022,1,0,1,1
150,Ronda Sant Pau 60,Superficie,62 Ronda de Sant Pau 08001,1,0,1,1
151,Can Marcet 18,Superficie,18 Avinguda de Can Marcet 08035,1,0,1,1
152,Legalitat 53,Superficie,55 Carrer de la Legalitat 08024,1,0,1,1
153,"Llobregós, 215",Superficie,211 Carrer del Llobregós 08032,1,0,1,1
154,Virgili 10,Superficie,4 Carrer de Virgili 08030,1,0,1,1
155,"Reina Victoria, 9",Superficie,10 Carrer de la Reina Victòria 08021,1,0,1,1
156,Can Bruixa 23,Superficie,33 Carrer de Can Bruixa 08014,1,0,1,1
157,Foneria 29,Superficie,26 Carrer de la Foneria 08038,1,0,1,1
158,Cantàbria 28,Superficie,29 Carrer de Cantàbria 08020,1,0,1,1
159,Roger de Llúria 124,Superficie,124 Carrer de Roger de Llúria 08037,1,0,1,1
160,Carrer 60,Superficie,25 Carrer 60 08040,1,0,1,1
161,Ausiàs March 151,Superficie,139 Carrer de la Marina 08013,1,0,1,1
162,Concepció Arenal 26,Superficie,26B Carrer de Concepción Arenal 08027,1,0,1,1
163,Salvador Espriu 97,Superficie,8 Carrer de Jaume Vicens i Vives 08005,1,0,1,1
164,Torras i Bages 124,Superficie,149 Passeig de Torras i Bages 08030,1,0,1,1
165,Poesia 2,Superficie,7B Carrer de la Poesia 08035,1,0,1,1
166,Química 2,Superficie,2 Carrer de la Química 08038,1,0,1,1
167,Pare Mariana 21,Superficie,17 Carrer del Pare Mariana 08035,1,0,1,1
168,John M. Keynes,Superficie,37 carrer de John Maynard Keynes 08034,1,0,1,1
169,Mallorca 100,Superficie,100 Carrer de Mallorca 08029,1,0,1,1
170,Pg. Picasso 8,Superficie,8 Passeig de Picasso 08003,1,0,1,1
171,Entença 335,Superficie,115 Carrer de Déu i Mata 08029,1,0,1,1
172,Mercabarna,Superficie,25 Carrer Major 08040,1,0,1,1
173,"Via Favència, 21",Superficie,21X Via Favència 08042,1,0,1,1
174,"Carrer Roc Boronat, 122",Superficie,125 Carrer de Roc Boronat 08018,1,0,1,1
175,"Pla de Palau, 21",Superficie,1366 Pla de Palau 08003,1,0,1,1
176,"Provença, 447",Superficie,447 Carrer de Provença 08025,1,0,1,1
177,"Av. Meridiana, 400 E",Superficie,396 Avinguda Meridiana 08030,1,0,1,1
178,"Passeig de Gràcia, 5",Superficie,4 Carrer de Casp 08010,1,0,1,1
179,Trio La Marina de Port,Superficie,19-11 Carrer Mercuri 08038,1,0,1,1
180,Parking David 01,Superficie,25 Carrer de Tuset 08006,1,0,1,1
181,BCSABAGRACIACCENT06,Superficie,310 Carrer del Consell de Cent 08007,3,0,0,0
182,Moll de Barcelona,Superficie,2 Ml Barcelona 08039,1,0,1,1
183,Parking Sur Fábrica Nissan,Superficie,Carrer Quatre 08040,0,3,0,0
184,E0034 - Zona Franca Plaza Cerda,Parking,225 Passeig de la Zona Franca 08038,0,0,2,0
185,Endesa CPO - McDonalds - Polígon Can Massaguer Nord,Superficie,0F Poligono Can Massaguer Nord 08430,0,0,2,0
186,Endesa CPO - McDonalds - Polígon Can Massaguer Nord,Superficie,0F Poligono Can Massaguer Nord 08430,0,0,2,0
187,Endesa CPO - SABA APARCAMIENTOS,Superficie,70 Carrer del Mas Casanovas 08041,2,0,0,0
188,Endesa CPO - SABA APARCAMIENTOS,Superficie,70 Carrer del Mas Casanovas 08041,2,0,0,0
189,Endesa CPO - SABA APARCAMIENTOS,Superficie,65 Carrer del Mas Casanovas 08041,2,0,0,0
190,Endesa CPO - SABA APARCAMIENTOS,Superficie,65 Carrer del Mas Casanovas 08041,2,0,0,0
191,Endesa CPO - SABA - Avenida Josep Tarradellas 46,Superficie,46 Avinguda de Josep Tarradellas 08029,2,0,0,0
192,Endesa CPO - SABA - Avenida Josep Tarradellas 46,Superficie,46 Avinguda de Josep Tarradellas 08029,2,0,0,0
193,Endesa CPO - SABA - Pg. de Gràcia,Superficie,33 Passeig de Gràcia 08007,2,0,0,0
194,Endesa CPO - SABA - Pg. de Gràcia,Superficie,33 Passeig de Gràcia 08007,2,0,0,0
195,Endesa CPO - SABA - Pg. de Gràcia,Superficie,33 Passeig de Gràcia 08007,2,0,0,0
196,Endesa CPO - SABA - Pg. de Gràcia,Superficie,33 Passeig de Gràcia 08007,2,0,0,0
197,Endesa CPO - SABA - Pg. de Gràcia,Superficie,90 Passeig de Gràcia 08008,2,0,0,0
198,Endesa CPO - SABA - Pg. de Gràcia,Superficie,90 Passeig de Gràcia 08008,2,0,0,0
199,Endesa CPO - SABA - Pg. de Gràcia,Superficie,33 Passeig de Gràcia 08007,2,0,0,0
200,Endesa CPO - SABA - Pg. de Gràcia,Superficie,33 Passeig de Gràcia 08007,2,0,0,0
201,Endesa CPO - SABA - Pg. de Gràcia,Superficie,84 Passeig de Gràcia 08008,2,0,0,0
202,Endesa CPO - SABA - Pg. de Gràcia,Superficie,84 Passeig de Gràcia 08008,2,0,0,0
203,Endesa CPO - SABA - Rambla de Catalunya,Superficie,14 Rambla de Catalunya 08007,2,0,0,0
204,Endesa CPO - SABA - Rambla de Catalunya,Superficie,14 Rambla de Catalunya 08007,2,0,0,0
205,Endesa CPO - SABA - Pg. de Gràcia,Superficie,33 Passeig de Gràcia 08007,2,0,0,0
206,Endesa CPO - SABA - Pg. de Gràcia,Superficie,33 Passeig de Gràcia 08007,2,0,0,0
207,Endesa CPO - Carrer de l'Hospital,Superficie,25 Carrer de l'Hospital 08001,2,0,0,0
208,Endesa CPO - Carrer de l'Hospital,Superficie,25 Carrer de l'Hospital 08001,2,0,0,0
209,Endesa CPO - Carrer de la Creu Coberta,Superficie,2A Carrer de la Diputació 08014,2,0,0,0
210,Endesa CPO - Carrer de la Creu Coberta,Superficie,2A Carrer de la Diputació 08014,2,0,0,0
211,Endesa CPO - Carrer de la Creu Coberta,Superficie,2A Carrer de la Diputació 08014,2,0,0,0
212,Endesa CPO - Carrer de la Creu Coberta,Superficie,2A Carrer de la Diputació 08014,2,0,0,0
213,Endesa CPO - Avinguda Diagonal,Superficie,152 Carrer del Bruc 08037,2,0,0,0
214,Endesa CPO - Avinguda Diagonal,Superficie,152 Carrer del Bruc 08037,2,0,0,0
215,Endesa CPO - Continental Parking - C/ de Numància,Superficie,13 Carrer de Numància 08029,2,0,0,0
216,Endesa CPO - Continental Parking - C/ de Numància,Superficie,13 Carrer de Numància 08029,2,0,0,0
217,Endesa CPO - JOSE CORSEGA - C. de Còrsega,Superficie,344 Carrer de Còrsega 08037,2,0,0,0
218,Endesa CPO - JOSE CORSEGA - C. de Còrsega,Superficie,344 Carrer de Còrsega 08037,2,0,0,0
219,Endesa CPO - PARKING NEPTÚ - C/ de Neptú,Superficie,16 Carrer de Neptú 08006,2,0,0,0
220,Endesa CPO - PARKING NEPTÚ - C/ de Neptú,Superficie,16 Carrer de Neptú 08006,2,0,0,0
221,Endesa CPO - PANUFER VALENCIA - C/ de València,Superficie,245 Carrer de València 08007,2,0,0,0
222,Endesa CPO - PANUFER VALENCIA - C/ de València,Superficie,245 Carrer de València 08007,2,0,0,0
223,Endesa CPO - Carrer Potassi,Superficie,118 Carrer Potassi 08740,2,0,0,0
224,Endesa CPO - Carrer Potassi,Superficie,118 Carrer Potassi 08740,2,0,0,0
225,Endesa CPO - HOTEL BARCELO SANTS - Plaça dels Països Catalans,Superficie,16 Carrer de Viriat 08014,2,0,0,0
226,Endesa CPO - HOTEL BARCELO SANTS - Plaça dels Països Catalans,Superficie,16 Carrer de Viriat 08014,2,0,0,0
227,BCBARCELOSANTS02,Superficie,16 Carrer de Viriat 08014,2,0,0,0
228,BCBARCELOSANTS02,Superficie,16 Carrer de Viriat 08014,2,0,0,0
229,Endesa CPO - BAMSA - Av. de Francesc Cambó,Superficie,32 Avinguda de Francesc Cambó 08003,2,0,0,0
230,Endesa CPO - BAMSA - Av. de Francesc Cambó,Superficie,32 Avinguda de Francesc Cambó 08003,2,0,0,0
231,Endesa CPO - BAMSA - Av. de Francesc Cambó,Superficie,10 Avinguda de Francesc Cambó 08003,2,0,0,0
232,Endesa CPO - BAMSA - Av. de Francesc Cambó,Superficie,10 Avinguda de Francesc Cambó 08003,2,0,0,0
233,Endesa CPO - BAMSA - Carrer del Comte d'Urgell,Superficie,8 Carrer del Comte d'Urgell 08011,2,0,0,0
234,Endesa CPO - BAMSA - Carrer del Comte d'Urgell,Superficie,8 Carrer del Comte d'Urgell 08011,2,0,0,0
235,Endesa CPO - BAMSA - Rambla de Catalunya,Superficie,16S Rambla de Catalunya 08007,2,0,0,0
236,Endesa CPO - BAMSA - Rambla de Catalunya,Superficie,16S Rambla de Catalunya 08007,2,0,0,0
237,1591001718,Superficie,16S Rambla de Catalunya 08007,2,0,0,0
238,1591001718,Superficie,16S Rambla de Catalunya 08007,2,0,0,0
239,Endesa CPO - BAMSA - Av. de Josep Tarradellas,Superficie,46 Avinguda de Josep Tarradellas 08029,2,0,0,0
240,Endesa CPO - BAMSA - Av. de Josep Tarradellas,Superficie,46 Avinguda de Josep Tarradellas 08029,2,0,0,0
241,Endesa CPO - BAMSA - Carrer de Londres,Superficie,56 Carrer de Londres 08036,2,0,0,0
242,Endesa CPO - BAMSA - Carrer de Londres,Superficie,56 Carrer de Londres 08036,2,0,0,0
243,Endesa CPO - C/ de la Diputació,Superficie,245 Carrer de la Diputació 08007,2,0,0,0
244,Endesa CPO - C/ de la Diputació,Superficie,245 Carrer de la Diputació 08007,2,0,0,0
245,Endesa CPO - BAMSA - Pg. de Gràcia,Superficie,60 Passeig de Gràcia 08007,2,0,0,0
246,Endesa CPO - BAMSA - Pg. de Gràcia,Superficie,60 Passeig de Gràcia 08007,2,0,0,0
247,Endesa CPO - BAMSA - Carrer del Baluard,Superficie,40 Carrer del Baluard 08003,2,0,0,0
248,Endesa CPO - BAMSA - Carrer del Baluard,Superficie,40 Carrer del Baluard 08003,2,0,0,0
249,Endesa CPO - BAMSA - Pg. de Gràcia,Superficie,42 Passeig de Gràcia 08007,2,0,0,0
250,Endesa CPO - BAMSA - Pg. de Gràcia,Superficie,42 Passeig de Gràcia 08007,2,0,0,0
251,Endesa CPO - BAMSA - Rambla de Catalunya,Superficie,21 Carrer de Rivadeneyra 08002,2,0,0,0
252,Endesa CPO - BAMSA - Rambla de Catalunya,Superficie,21 Carrer de Rivadeneyra 08002,2,0,0,0
253,Endesa CPO - BAMSA - Rambla de Catalunya,Superficie,21 Carrer de Rivadeneyra 08002,2,0,0,0
254,Endesa CPO - BAMSA - Rambla de Catalunya,Superficie,21 Carrer de Rivadeneyra 08002,2,0,0,0
255,Endesa CPO - BAMSA - C/ de Casanova I cruce con C/ de Corsega,Superficie,148 Carrer de Casanova 08036,2,0,0,0
256,Endesa CPO - BAMSA - C/ de Casanova I cruce con C/ de Corsega,Superficie,148 Carrer de Casanova 08036,2,0,0,0
257,Endesa CPO - BAMSA - Carrer dels Àngels,Superficie,10 Carrer dels Àngels 08001,2,0,0,0
258,Endesa CPO - BAMSA - Carrer dels Àngels,Superficie,10 Carrer dels Àngels 08001,2,0,0,0
259,Endesa CPO - BAMSA - Carrer dels Àngels,Superficie,21 Carrer dels Àngels 08001,2,0,0,0
260,Endesa CPO - BAMSA - Carrer dels Àngels,Superficie,21 Carrer dels Àngels 08001,2,0,0,0
261,Endesa CPO - BAMSA - C/ de Casanova I cruce con C/ de Corsega,Superficie,148 Carrer de Casanova 08036,2,0,0,0
262,Endesa CPO - BAMSA - C/ de Casanova I cruce con C/ de Corsega,Superficie,148 Carrer de Casanova 08036,2,0,0,0
263,Endesa CPO - BAMSA - Carrer de València,Superficie,181 Carrer de Calàbria 08015,2,0,0,0
264,Endesa CPO - BAMSA - Carrer de València,Superficie,181 Carrer de Calàbria 08015,2,0,0,0
265,Endesa CPO - BAMSA - Carrer de València,Superficie,75 Carrer de València 08015,2,0,0,0
266,Endesa CPO - BAMSA - Carrer de València,Superficie,75 Carrer de València 08015,2,0,0,0
267,Endesa CPO - SABA - Gran Via de Carles III 85 Bis,Superficie,95 Gran Via de Carles III 08028,2,0,0,0
268,Endesa CPO - SABA - Gran Via de Carles III 85 Bis,Superficie,95 Gran Via de Carles III 08028,2,0,0,0
269,Endesa CPO - SABA - Travessera de Gràcia,Superficie,23 Travessera de Gràcia 08021,2,0,0,0
270,Endesa CPO - SABA - Travessera de Gràcia,Superficie,23 Travessera de Gràcia 08021,2,0,0,0
271,Endesa CPO - SABA - Av. de la Catedral,Superficie,9 Avinguda de la Catedral,2,0,0,0
272,Endesa CPO - SABA - Av. de la Catedral,Superficie,9 Avinguda de la Catedral,2,0,0,0
273,Endesa CPO - SABA - Av. de la Catedral,Superficie,9 Avinguda de la Catedral,2,0,0,0
274,Endesa CPO - SABA - Av. de la Catedral,Superficie,9 Avinguda de la Catedral,2,0,0,0
275,Endesa CPO - BAMSA - Carrer de Vilardell,Superficie,74 Carrer del Moianès 08014,2,0,0,0
276,Endesa CPO - BAMSA - Carrer de Vilardell,Superficie,74 Carrer del Moianès 08014,2,0,0,0
277,Endesa CPO - SABA - Carrer de Pau Claris,Superficie,174 Carrer de Pau Claris 08037,2,0,0,0
278,Endesa CPO - SABA - Carrer de Pau Claris,Superficie,174 Carrer de Pau Claris 08037,2,0,0,0
279,Endesa CPO - Carrer de l'Abat Safont,Superficie,1 Carrer de l'Abat Safont 08001,2,0,0,0
280,Endesa CPO - Carrer de l'Abat Safont,Superficie,1 Carrer de l'Abat Safont 08001,2,0,0,0
281,Endesa CPO - SABA - Gran Via de Carles III,Superficie,85.B Gran Via de Carles III 08028,2,0,0,0
282,Endesa CPO - SABA - Gran Via de Carles III,Superficie,85.B Gran Via de Carles III 08028,2,0,0,0
